Neighborhood,Longtitude,Latitude
Hyde Park,-87.58964375,41.7963097857143
Englewood,-87.6418360952381,41.7773396190476
Bridgeport,-87.6472333404255,41.8349986382979
Edgewater,-87.6630614426229,41.9842990901639
Albany Park,-87.7190822222222,41.9666150476191
Calumet Heights,-87.5788877692308,41.7310186923077
West Town,-87.6754359897436,41.9024240641025
Near South Side,-87.6210892131147,41.8613367868853
Jefferson Park,-87.76872046875,41.97611590625
Austin,-87.7625887755102,41.8932037040816
Avondale,-87.7132855757576,41.9381052727273
Riverdale,-87.5978818,41.6569098
Auburn Gresham,-87.6571359642857,41.7473168571428
Avalon Park,-87.58288,41.7397512142857
Near North Side,-87.6306861232394,41.8978378485916
Greater Grand Crossing,-87.6153167428571,41.7640397428571
Burnside,-87.600361,41.7254735
New City,-87.6634605833333,41.80736075
Chatham,-87.6140712564103,41.7409496410256
South Chicago,-87.55580035,41.736859525
Lincoln Park,-87.6493477864077,41.9224309417476
Woodlawn,-87.5952832857143,41.7858959523809
Washington Heights,-87.6502978965517,41.7173964482759
North Center,-87.681028729927,41.9505034890511
Logan Square,-87.6957683349515,41.9220717135922
Douglas,-87.6200099666667,41.8345307666667
Hegewisch,-87.5464529473684,41.6554668947368
Gage Park,-87.69703875,41.7953688333333
West Ridge,-87.6923942156862,41.9993160588235
Loop,-87.6281499880716,41.8802510775348
Lower West Side,-87.6631594190476,41.8558299428572
West Pullman,-87.6339865625,41.6785255625
Edison Park,-87.8134586842105,42.0053346315789
Clearing,-87.7702578636363,41.7789887272727
McKinley Park,-87.6767749444445,41.8283744444444
Lake View,-87.6564086666666,41.9425141504425
Hermosa,-87.7355675714286,41.9256238571429
Lincoln Square,-87.6853969109589,41.9688436232877
West Elsdon,-87.72457625,41.7952003125
North Park,-87.7161694857143,41.9822310571429
West Lawn,-87.7248176551724,41.7729883103448
Dunning,-87.801390325,41.945667125
West Garfield Park,-87.7276703913044,41.8801539130435
South Shore,-87.574549125,41.763048625
Norwood Park,-87.7995650454546,41.9892492575758
Grand Boulevard,-87.6179865,41.810951
Portage Park,-87.7637394705883,41.9527848333333
Humboldt Park,-87.7192052272727,41.9038885681818
Brighton Park,-87.6946425416667,41.814909875
Near West Side,-87.6570633190476,41.8780496904762
East Garfield Park,-87.7045003225806,41.8791952580645
East Side,-87.535471945946,41.7029853783784
Washington Park,-87.6188352631579,41.7936111578948
Roseland,-87.62469228125,41.69712971875
Mount Greenwood,-87.70672212,41.69502304
Montclare,-87.8020299,41.9278499
Beverly,-87.675537425,41.714673725
Rogers Park,-87.6686479747899,42.0091201260504
West Englewood,-87.6639132727273,41.7764210909091
South Deering,-87.5680558333333,41.7120137777778
Kenwood,-87.5976849259259,41.8097123333333
Archer Heights,-87.7251991818182,41.8030952727273
Forest Glen,-87.7575086923077,41.9888604615385
Irving Park,-87.7228932553191,41.9530962765957
Garfield Ridge,-87.7676269230769,41.7941592307692
Pullman,-87.6034879375,41.7039961875
Uptown,-87.6587920346822,41.9662224219653
O'Hare,-87.8438304,41.975927
South Lawndale,-87.7138871046512,41.8453573255814
Chicago Lawn,-87.6943488545454,41.7778003090909
Belmont Cragin,-87.7602953484849,41.9263263333333
Armour Square,-87.6337346333333,41.8445925
North Lawndale,-87.7158178333333,41.8608354285714
Oakland,-87.6030228,41.8220986
Ashburn,-87.7067799756097,41.7459575365854
Morgan Park,-87.6675144186046,41.6910339534884
Fuller Park,-87.631659375,41.804321125
